Month,franchiseId,State,District ,Town,totalRf,totalSales,totalEarnings,Type
Apr-18,F104591,Madhya Pradesh,Morena,Sabalgarh,  2 ,"  9,744 ",  400 ,PHYSICAL
Apr-18,F101012,Gujarat,Rajkot,Rajkot,  5 ,"  51,135 ","  1,200 ",PHYSICAL
Apr-18,F104025,Tamil Nadu,Cuddalore,Tittakudi,  4 ,"  14,199 ",  -   ,PHYSICAL
Apr-18,F103719,Maharashtra,Sangli,Palus,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104667,Madhya Pradesh,Dhar,Sardarpur,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F160442,Gujarat,Surat,Surat,  3 ,"  31,347 ",  -   ,PHYSICAL
Apr-18,F103058,Gujarat,Panch Mahals,Halol,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F103953,Madhya Pradesh,Bhopal,Huzur,  2 ,"  11,314 ",  -   ,PHYSICAL
Apr-18,F104627,Madhya Pradesh,East Nimar,Khandwa,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F103616,Maharashtra,Solapur,Malshiras,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104313,Madhya Pradesh,Bhopal,Huzur,  2 ,"  21,230 ",  -   ,PHYSICAL
Apr-18,F104816,Madhya Pradesh,Ratlam,Ratlam,  2 ,"  20,367 ",  -   ,PHYSICAL
Apr-18,F104138,Madhya Pradesh,Dhar,Sardarpur,  1 ,  587 ,  -   ,PHYSICAL
Apr-18,F167000,Madhya Pradesh,Mandsaur,Garoth,  1 ,"  10,848 ",  -   ,PHYSICAL
Apr-18,F104658,Maharashtra,Nashik,Sinnar,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F164619,Karnataka,Bangalore,Bangalore North,  3 ,"  31,516 ",  -   ,PHYSICAL
Apr-18,F153702,Madhya Pradesh,Guna,Raghogarh,  1 ,"  10,093 ",  -   ,PHYSICAL
Apr-18,F104788,Maharashtra,Nagpur,Kamptee,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F103949,Maharashtra,Sangli,Atpadi,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104461,Madhya Pradesh,Barwani,Sendhwa,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104778,Maharashtra,Gondia,Sadak Arjuni,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104245,Madhya Pradesh,Dhar,Dharampuri,  2 ,"  10,934 ",  -   ,PHYSICAL
Apr-18,F101008,Gujarat,Dahod,Devgadbaria,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104646,Maharashtra,Amravati,Paratwada,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F103961,Madhya Pradesh,Rewa,Huzur,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104799,Madhya Pradesh,Shivpuri,Shivpuri,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104770,Madhya Pradesh,Bhopal,Huzur,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104729,Maharashtra,Nagpur,Ramtek,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104354,Madhya Pradesh,Gwalior,Gwalior,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F103876,Madhya Pradesh,Hoshangabad,Archnagaon,  3 ,"  33,610 ",  -   ,PHYSICAL
Apr-18,F164316,Madhya Pradesh,Indore,Indore,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F166330,Madhya Pradesh,Bhopal,Huzur,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F103787,Maharashtra,Sangli,Walva,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104842,Tamil Nadu,Cuddalore,Cuddalore,  2 ,"  258,156 ",  -   ,PHYSICAL
Apr-18,F104837,Tamil Nadu,Kanchipuram,Tirukalikundram,  1 ,  -   ,  -   ,PHYSICAL
Apr-18,F167079,Madhya Pradesh,Morena,Ambah,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104538,Tamil Nadu,Coimbatore,Coimbatore South,  5 ,"  136,683 ","  1,600 ",PHYSICAL
Apr-18,F103960,Madhya Pradesh,Dewas,Dewas,  3 ,"  32,786 ",  -   ,PHYSICAL
Apr-18,F104847,Maharashtra,Akola,Akola,  3 ,"  31,516 ",  -   ,PHYSICAL
Apr-18,F166168,Madhya Pradesh,Bhopal,Bhopal,  1 ,  750 ,  -   ,PHYSICAL
Apr-18,F103983,Madhya Pradesh,Indore,Sanwer,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F166986,Madhya Pradesh,Neemuch,Neemuch,  1 ,"  10,505 ",  -   ,PHYSICAL
Apr-18,F101017,Gujarat,Kheda,Nadiad,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F166353,Madhya Pradesh,Morena,Morena,  1 ,"  10,216 ",  -   ,PHYSICAL
Apr-18,F166163,Madhya Pradesh,Bhopal,Huzur,  1 ,"  10,615 ",  -   ,PHYSICAL
Apr-18,F101034,Gujarat,Ahmedabad,Ahmadabad City,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104101,Madhya Pradesh,Bhopal,Bhopal,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F166382,Madhya Pradesh,Guna,Guna,  1 ,"  15,725 ",  -   ,PHYSICAL
Apr-18,F103382,Karnataka,Chikkaballapur,Chickballapur,  1 ,  -   ,  -   ,PHYSICAL
Apr-18,F103887,Madhya Pradesh,Indore,Indore,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104629,Madhya Pradesh,Jhabua,Jhabua,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104462,Madhya Pradesh,Hoshangabad,Garhaghat,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F166326,Madhya Pradesh,Hoshangabad,Hoshangabad,  1 ,"  10,640 ",  -   ,PHYSICAL
Apr-18,F103068,Karnataka,Bangalore,Bangalore South,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F167148,Madhya Pradesh,Morena,Morena,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104857,Madhya Pradesh,Ratlam,Jaora,  1 ,"  10,578 ",  -   ,PHYSICAL
Apr-18,F104865,Madhya Pradesh,Shivpuri,Kolaras,  1 ,"  10,440 ",  -   ,PHYSICAL
Apr-18,F166371,Gujarat,Valsad,Umbergaon,  1 ,"  10,184 ",  -   ,PHYSICAL
Apr-18,F104587,Madhya Pradesh,Guna,Guna,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104817,Maharashtra,Yavatmal,Kalamb,  -   ,  -   ,  -   ,PHYSICAL
