Month,franchiseId,State,District ,Town,totalRf,totalSales,totalEarnings,Type
Apr-18,F104270,Madhya Pradesh,Dhar,Dhamnod,  1 ,"  12,828 ",  -   ,DIGITAL
Apr-18,F166126,Maharashtra,Yavatmal,Yavatmal,  1 ,"  198,389 ",  396 ,DIGITAL
Apr-18,F104805,Tamil Nadu,Coimbatore,Tirupur,  1 ,"  8,700 ",  -   ,DIGITAL
Apr-18,F104394,Madhya Pradesh,Ujjain,Ujjain,  4 ,"  171,491 ",  332 ,DIGITAL
Apr-18,F104500,Madhya Pradesh,Morena,Sabalgarh,  3 ,"  38,770 ",  77 ,DIGITAL
Apr-18,F104598,Madhya Pradesh,Mandsaur,Mandsaur,  2 ,"  369,232 ",  726 ,DIGITAL
Apr-18,F167034,Madhya Pradesh,Jhabua,Jhabua,  1 ,"  280,411 ",  709 ,DIGITAL
Apr-18,F103581,Kerala,Malappuram,Tirurangadi,  3 ,"  153,428 ",  251 ,DIGITAL
Apr-18,F104090,Tamil Nadu,Salem,Salem,  1 ,"  10,000 ",  -   ,DIGITAL
Apr-18,F103986,Madhya Pradesh,Dewas,Bagli,  3 ,"  34,313 ",  -   ,DIGITAL
Apr-18,F104581,Madhya Pradesh,Bhopal,Huzur,  1 ,"  287,938 ",  576 ,DIGITAL
Apr-18,F166812,Tamil Nadu,Kanchipuram,Tambaram,  4 ,"  3,978 ",  -   ,DIGITAL
Apr-18,F166194,Madhya Pradesh,Hoshangabad,Itarsi,  1 ,"  186,657 ",  361 ,DIGITAL
Apr-18,F104488,Madhya Pradesh,Mandsaur,Mandsaur,  1 ,"  9,980 ",  20 ,DIGITAL
Apr-18,F104856,Tamil Nadu,Coimbatore,Coimbatore North,  28 ,"  5,499,849 ","  12,474 ",DIGITAL
Apr-18,F104807,Kerala,Malappuram,Ernad,  29 ,"  6,421,633 ","  13,037 ",DIGITAL
Apr-18,F104069,Kerala,Kannur,Taliparamba,  52 ,"  2,339,876 ","  1,922 ",DIGITAL
Apr-18,F103690,Kerala,Kasargod,Hosdurg,  38 ,"  1,376,057 ","  2,002 ",DIGITAL
Apr-18,F104419,Tamil Nadu,Theni,Uthamapalayam,  21 ,"  434,449 ",  594 ,DIGITAL
Apr-18,F104114,Andhra Pradesh,Krishna,Vijayawada (Urban),  16 ,"  1,378,323 ","  2,764 ",DIGITAL
Apr-18,F103435,Kerala,Kozhikode,Kozhikode,  77 ,"  7,913,949 ","  13,064 ",DIGITAL
Apr-18,F104583,Tamil Nadu,Coimbatore,Coimbatore North,  27 ,"  5,282,172 ","  13,223 ",DIGITAL
Apr-18,F103649,Telangana,Karim Nagar,Arepalli,  40 ,"  935,769 ",  710 ,DIGITAL
Apr-18,F103470,Andhra Pradesh,Ananthapur,Anantapur,  71 ,"  2,179,014 ","  3,051 ",DIGITAL
Apr-18,F104633,Kerala,Thrissur,Kodungallur,  11 ,"  7,387,995 ","  15,297 ",DIGITAL
Apr-18,F104428,Telangana,Khammam,Paloncha,  15 ,"  226,638 ",  377 ,DIGITAL
Apr-18,F104607,Andhra Pradesh,Guntur,Chilakaluripet,  15 ,"  907,168 ","  1,027 ",DIGITAL
Apr-18,F104304,Karnataka,Kodagu,Somwarpet,  45 ,"  1,309,094 ","  1,581 ",DIGITAL
Apr-18,F164611,Telangana,Hyderabad,Hyd,  1 ,"  26,950 ",  -   ,DIGITAL
Apr-18,F104517,Karnataka,Mandya,Mandya,  23 ,"  1,299,070 ","  2,146 ",DIGITAL
Apr-18,F104832,Karnataka,Bangalore,Bangalore South,  10 ,"  10,709,506 ","  22,196 ",DIGITAL
Apr-18,F104490,Tamil Nadu,Erode,Erode,  15 ,"  1,849,686 ","  3,852 ",DIGITAL
Apr-18,F104678,Karnataka,Bangalore Rural,Doddaballapura,  30 ,"  5,320,399 ","  10,425 ",DIGITAL
Apr-18,F104271,Tamil Nadu,Erode,Erode,  28 ,"  2,387,413 ","  5,726 ",DIGITAL
Apr-18,F103340,Andhra Pradesh,Ananthapur,Gooty,  54 ,"  6,948,053 ","  14,031 ",DIGITAL
Apr-18,F103717,Tamil Nadu,Sivaganga,Tirupattur,  49 ,"  547,876 ",  172 ,DIGITAL
Apr-18,F103406,Karnataka,Kolar,Srinivasapura,  40 ,"  208,591 ",  99 ,DIGITAL
Apr-18,F161012,Andhra Pradesh,Chittoor,Chandragiri,  5 ,"  111,179 ",  512 ,DIGITAL
Apr-18,F103400,Karnataka,Kolar,Malur,  28 ,"  4,561,648 ","  9,338 ",DIGITAL
Apr-18,F103386,Karnataka,Kolar,Bangarapet,  29 ,"  505,952 ",  278 ,DIGITAL
Apr-18,F165558,Andhra Pradesh,Cuddapah,Cuddapah,  5 ,"  24,377 ",  19 ,DIGITAL
Apr-18,F104247,Andhra Pradesh,Ananthapur,Rayadurg,  15 ,"  166,187 ",  100 ,DIGITAL
Apr-18,F103451,Andhra Pradesh,Prakasam,Kandukur,  6 ,"  250,353 ",  495 ,DIGITAL
