Month,FID,RMF PNH ID,RMF Name,State,District,Town, RF'S  , Total value , Earned Margin ,, RF'S  , Total value , Earned Margin ,,RF's,Earned Margin
Apr-18,F166996,30300175,Agrawal Online Center,Madhya Pradesh,Shivpuri,Shivpuri,1,10505,  -   ,,1,355010,1010,,  -   ,  -   
Apr-18,F104471,37415661,Digital Agency,Tamil Nadu,Madurai,Madurai South,4,872750,4696,,3,5606,9,,  -   ,  -   
Apr-18,F104813,37225718,Shri Ram Computers,Madhya Pradesh,Shivpuri,Shivpuri,2,20605,  -   ,,4,5640279,11880,,  -   ,  -   
Apr-18,F104774,36268513,Maa Kalika Enterprises,Madhya Pradesh,Ratlam,Ratlam,10,86692,4886,,19,2212624,4041,,  -   ,  -   
Apr-18,F101030,31827484,Zoya Mobile Care & Xerox,Gujarat,Ahmedabad,Sanand,  -   ,  -   ,  -   ,,6,1014562,1963,,  -   ,  -   
Apr-18,F101031,37855763,Welcome Telecom (RMF),Gujarat,Kachchh,Mundra,  -   ,  -   ,  -   ,,13,913623,1640,,  -   ,  -   
Apr-18,F104591,39278171,Badri Prasad Satish Kumar,Madhya Pradesh,Morena,Sabalgarh,2,9744,400,,7,367835,631,,  -   ,  -   
Apr-18,F101012,39746229,Delight Mobiles,Gujarat,Rajkot,Rajkot,5,51135,1200,,7,3712659,8283,,  -   ,  -   
Apr-18,F104025,38813811,R.K.R Agencies,Tamil Nadu,Cuddalore,Tittakudi,4,14199,  -   ,,31,921965,1605,,  -   ,  -   
Apr-18,F103719,33415976,Friends communication,Maharashtra,Sangli,Palus,  -   ,  -   ,  -   ,,12,889576,1397,,  -   ,  -   
Apr-18,F104667,33645272,Shivani Telecom (RMF),Madhya Pradesh,Dhar,Sardarpur,  -   ,  -   ,  -   ,,5,96242,192,,  -   ,  -   
Apr-18,F160442,30201512,Maruti mobile world,Gujarat,Surat,Surat,3,31347,  -   ,,8,3220847,7341,,  -   ,  -   
Apr-18,F103058,36037853,Shreeji travels,Gujarat,Panch Mahals,Halol,  -   ,  -   ,  -   ,,8,303768,607,,  -   ,  -   
Apr-18,F103953,39478852,Kesar Communications,Madhya Pradesh,Bhopal,Huzur,2,11314,  -   ,,28,2486710,4648,,  -   ,  -   
Apr-18,F104627,33125561,Shri Sant Singaji Kripa Mobile (RMF),Madhya Pradesh,East Nimar,Khandwa,  -   ,  -   ,  -   ,,1,5730,  -   ,,  -   ,  -   
Apr-18,F103616,38452219,Akshara Xerox Center,Maharashtra,Solapur,Malshiras,  -   ,  -   ,  -   ,,4,99330,57,,  -   ,  -   
Apr-18,F104313,31418739,Sohil Mobile & Gsm Service,Madhya Pradesh,Bhopal,Huzur,2,21230,  -   ,,14,2252064,5097,,  -   ,  -   
Apr-18,F104816,37341553,Lucky Computer Distributors,Madhya Pradesh,Ratlam,Ratlam,2,20367,  -   ,,5,4076441,8750,,  -   ,  -   
